Дата публикации,Тип публикации,Публикация,Ссылка на публикацию,Дочитывания и просмотры,Показы,Открытия,Время просмотра в минутах,Комментарии,Подписки,Лайки,Стеллы,Суммарный доход,За время просмотра,Прочее,CTR,CR,ER,RPM,year_month,weekday,hour,month,CTR_clean,CR_clean,ER_clean,category,has_top_club,primary_club,is_transfer_window,title_length,title_words,has_slash,has_rumor,has_number,log_income,is_hit,days_since_start
2025-09-23 13:01:57.289,Статья,"Краснодар проиграл, но не потерял лидерство. Плотность команд в верху турнирной таблицы увеличивается",https://dzen.ru/media/id/6358cb994fee997bedba5cec/68d26e1db979c44aa3cb2004,3383,131362,5964,3205,13,8,36,0,164.77,163.58,0.0,0.0454012575935202,0.5672367538564722,0.0144841856340526,48.70529116169081,2025-09,1,13,9,0.0454012575935202,0.5672367538564722,0.0144841856340526,Другое,0,Краснодар,0,101,13,0,0,0,5.110601285436775,0,314
2025-09-24 17:59:54.333,Статья,Рубин подписал еще одного свободного агента,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68d40732dcdbc06ff42dce92,595,57696,2575,218,3,3,18,0,11.1,11.08,0.0,0.0446304769828064,0.2310679611650485,0.0352941176470588,18.65546218487395,2025-09,2,17,9,0.0446304769828064,0.2310679611650485,0.0352941176470588,Другое,0,Рубин,0,43,6,0,0,0,2.4932054526026954,0,315
2025-09-30 16:28:33.770,Статья,ЦСКА поднялся на первое место / Спартак в трех очках от лидера - РПЛ после 10 туров,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68dbd94b6dc58f0d860a3927,1668,128278,3523,1627,4,9,18,0,82.08999999999999,81.82,0.0,0.0274637895820015,0.4734601192165767,0.013189448441247,49.2146282973621,2025-09,1,16,9,0.0274637895820015,0.4734601192165767,0.013189448441247,Обзоры матчей,1,ЦСКА,0,83,17,1,0,1,4.41992435767689,0,321
2025-10-06 17:44:27.932,Статья,В Спартаке начались перестановки,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68e3d53f2b09b64fdd11a13b,12297,137056,16141,9733,35,41,86,0,489.29,485.43,0.0,0.1177693789399953,0.7618487082584722,0.0098397983247946,39.78937952346101,2025-10,0,17,10,0.1177693789399953,0.7618487082584722,0.0098397983247946,Другое,1,Спартак,0,32,4,0,0,0,6.194997052773076,1,327
2025-10-16 12:17:48.524,Статья,СССР - Швеция. 5 августа 1973 года / История футбола,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68f0a66922afbe06795f3d5e,1393,160242,3136,1474,4,15,25,0,73.32000000000001,72.76,0.0,0.0195703997703473,0.4441964285714285,0.0208183776022972,52.6346015793252,2025-10,3,12,10,0.0195703997703473,0.4441964285714285,0.0208183776022972,История СССР,0,Нет клуба,0,52,10,1,0,1,4.3083800945055835,0,337
2025-10-18 10:00:46.113,Статья,Торпедо - Карпаты. 9 мая 1974 года / Первенство Советского Союза,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68f1f6ebeaf77e0d539c21e4,3654,257255,7009,3547,4,16,61,0,168.36,166.29,0.0,0.0272453402266233,0.5213297189328007,0.0177887246852764,46.07553366174055,2025-10,5,10,10,0.0272453402266233,0.5213297189328007,0.0177887246852764,История СССР,0,Нет клуба,0,64,11,1,0,1,5.13202662682661,0,339
2025-10-20 10:40:58.634,Статья,Торпедо - Шахтёр. 11 июня 1974 года / Первенство Советского Союза,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68f5e0f22fcfb25379f1e098,1192,127453,2184,1256,5,11,14,0,63.12,62.57,0.0,0.0171357284646104,0.5457875457875457,0.0159395973154362,52.95302013422819,2025-10,0,10,10,0.0171357284646104,0.5457875457875457,0.0159395973154362,История СССР,0,Нет клуба,0,65,11,1,0,1,4.160756327741352,0,341
2025-10-22 11:32:28.143,Статья,ЦСКА (Москва) - Динамо (Киев). 25 июня 1974 года / Первенство Советского Союза,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68f88a636539c44524eb91d9,7750,231009,23048,8647,7,36,94,0,426.92,419.24,0.0,0.0997710045928946,0.336254772648386,0.0130322580645161,55.08645161290323,2025-10,2,11,10,0.0997710045928946,0.336254772648386,0.0130322580645161,История СССР,1,ЦСКА,0,78,13,1,0,1,6.0589362622229945,0,343
2025-10-24 10:27:47.267,Статья,Спартак (Москва) - Торпедо (Москва). 26 июня 1974 года / Первенство Советского Союза,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68fa0a6f247c9d646fadd4d5,1952,134439,3740,2052,0,11,37,0,102.9,102.15,0.0,0.0278193083852156,0.5219251336898396,0.0189549180327868,52.71516393442624,2025-10,4,10,10,0.0278193083852156,0.5219251336898396,0.0189549180327868,История СССР,1,Спартак,0,84,13,1,0,1,4.6434288981051814,0,345
2025-10-26 10:27:27.273,Статья,Спартак (Москва) - Днепр (Днепропетровск). 1 июля 1974 года / Первенство Советского Союза,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68fa18c72661983e0c363da3,2350,314984,4344,2623,2,19,37,0,130.25,129.55,0.0,0.0137911766946892,0.5409760589318601,0.016595744680851,55.42553191489362,2025-10,6,10,10,0.0137911766946892,0.5409760589318601,0.016595744680851,История СССР,1,Спартак,0,89,13,1,0,1,4.877103901471733,0,347
2025-10-29 11:40:35.865,Статья,Спартак (Москва) - Пахтакор (Ташкент). 26 июля 1974 года / Первенство советского союза,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6901c9ef6c1a137a0782cd3d,7247,507716,13934,7635,8,33,75,0,359.12,355.47,0.0,0.0274444768335053,0.5200947323094589,0.0114530150407065,49.55429833034359,2025-10,2,11,10,0.0274444768335053,0.5200947323094589,0.0114530150407065,История СССР,1,Спартак,0,86,13,1,0,1,5.886437309240276,0,350
2025-10-31 11:15:32.715,Статья,Торпедо (Москва) - Днепр (Днепропетровск). 7 августа 1974 года / Первенство Советского Союза,https://dzen.ru/media/id/6358cb994fee997bedba5cec/69046aa1216cad31082c798c,865,129538,1986,892,0,7,14,0,44.31,43.88,0.0,0.0153314085442109,0.4355488418932527,0.0161849710982658,51.22543352601157,2025-10,4,11,10,0.0153314085442109,0.4355488418932527,0.0161849710982658,История СССР,0,Нет клуба,0,92,13,1,0,1,3.813527758679047,0,352
