Дата публикации,Тип публикации,Публикация,Ссылка на публикацию,Дочитывания и просмотры,Показы,Открытия,Время просмотра в минутах,Комментарии,Подписки,Лайки,Стеллы,Суммарный доход,За время просмотра,Прочее,CTR,CR,ER,RPM,year_month,weekday,hour,month,CTR_clean,CR_clean,ER_clean
2026-07-24 15:28:57.863,Статья,Мохеби покинул Ростов / Первый француз в Оренбурге / Молодой защитник Зенита переходит в Факел - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a634c315ea2b41354c3bdcc,11504,156673,15707,5792,22,39,34,0,282.95,281.78,0.0,0.10025339401173144,0.732412300248297,0.004867872044506259,24.595792767732963,2026-07,Friday,15,7,0.10025339401173144,0.732412300248297,0.004867872044506259
2026-07-23 12:23:39.618,Статья,Спартак подал протест в КДК с требованием переигровки игры за Суперкубок России,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a61d21ad3b4497eaee7054e,2637,165694,7723,661,113,53,121,0,32.300000000000004,32.27,0.0,0.04661001605368933,0.3414476239803185,0.08873720136518772,12.24876753886993,2026-07,Thursday,12,7,0.04661001605368933,0.3414476239803185,0.08873720136518772
2026-07-22 12:19:25.666,Статья,Сколько продержится Игдисамов?,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a60819a00426c1e292176d8,1757,16542,2285,909,29,6,15,0,44.43,44.05,0.0,0.13813323660984161,0.7689277899343545,0.02504268639726807,25.28742174160501,2026-07,Wednesday,12,7,0.13813323660984161,0.7689277899343545,0.02504268639726807
2026-07-20 17:38:32.792,Статья,Еще один испанец в РПЛ / Новый вингер в Акроне / Олусегун покинул Краснодар - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a5e2c29a803da686754280e,4141,85646,5307,2765,2,11,14,0,135.08,135.0,0.0,0.06196436494407211,0.7802901827774638,0.003863801014247766,32.62014006278677,2026-07,Monday,17,7,0.06196436494407211,0.7802901827774638,0.003863801014247766
2026-07-16 11:35:57.749,Статья,"Воробьев выбрал Краснодар, а не Спартак / Греческий защитник в Факеле - Трансферы РПЛ",https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a589197fb181a1669a65dcb,37566,697975,53010,20906,65,115,112,0,1021.39,1019.33,0.0,0.07594827894981912,0.7086587436332767,0.004711707394984827,27.189213650641538,2026-07,Thursday,11,7,0.07594827894981912,0.7086587436332767,0.004711707394984827
2026-07-15 14:09:18.151,Статья,Железнов в Акроне / два колумбийца перешли в Оренбург - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a575f4924f2c05c5396826d,2617,85335,3763,1538,0,5,17,0,75.12,75.0,0.0,0.044096794984472956,0.695455753388254,0.006495987772258311,28.70462361482614,2026-07,Wednesday,14,7,0.044096794984472956,0.695455753388254,0.006495987772258311
2026-07-13 13:56:04.170,Статья,Сутормин переходит в Факел / Опорник в Ахмате / Бразилец в Краснодаре - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a54bb761162160a75203992,12964,207093,16536,8355,21,38,46,0,408.19,405.98,0.0,0.07984818414915038,0.7839864537977745,0.005168157975933354,31.486423943227397,2026-07,Monday,13,7,0.07984818414915038,0.7839864537977745,0.005168157975933354
2026-07-10 12:11:55.334,Статья,В ЦСКА новый вратарь / Балтика укрепляет защиту - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a50afa91162160a751ef59f,35317,720054,44023,23701,71,109,132,0,1157.92,1138.95,0.0,0.06113847017029278,0.8022397383186062,0.0057479400855112266,32.78647676756236,2026-07,Friday,12,7,0.06113847017029278,0.8022397383186062,0.0057479400855112266
2026-07-09 12:23:30.267,Статья,Самошников в Рубине / Оренбург подписал молодого аргентинца - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a4f4ff263598c4c047526e1,4282,112565,5864,2630,1,9,23,0,128.5,128.15,0.0,0.052094345489272866,0.730218281036835,0.005604857543204111,30.009341429238674,2026-07,Thursday,12,7,0.052094345489272866,0.730218281036835,0.005604857543204111
2026-07-03 14:14:20.211,Статья,Спартак покупает испанца в защиту / Магомед Оздоев возвращается - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a478c0798fe8b6afe736678,19718,457927,28264,11358,19,59,81,0,554.9200000000001,551.94,0.0,0.061721628119765816,0.6976365694876875,0.005071508266558475,28.142813672786293,2026-07,Friday,14,7,0.061721628119765816,0.6976365694876875,0.005071508266558475
2026-07-01 12:04:19.291,Статья,Аугусто в Зените / Сперцян все ближе к Аль-Ахли / Возвращение Макарова - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a43ca6a7410f47f50e68b56,2828,93967,3838,1866,9,5,10,0,91.18,91.0,0.0,0.04084412612938585,0.7368421052631579,0.006718528995756719,32.24186704384724,2026-07,Wednesday,12,7,0.04084412612938585,0.7368421052631579,0.006718528995756719
2026-06-29 14:35:41.161,Статья,Игрок сборной Узбекистана интересен клубу РПЛ / В сборной России может появится новый легионер - Трансферы и новости РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a421f86310a142c4526ded6,11623,281933,16150,6209,11,27,43,0,303.34999999999997,299.78,0.0,0.057283113363813386,0.7196904024767802,0.004645960595371246,26.099113826034586,2026-06,Monday,14,6,0.057283113363813386,0.7196904024767802,0.004645960595371246
2026-06-26 13:18:00.888,Статья,"Краснодар укрепляет состав, а Ростов теряет ключевых игроков - Трансферы РПЛ",https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a3e39cd31100f4a244c81ee,24741,705149,30419,11936,29,44,101,0,583.14,573.92,0.0,0.043138400536624176,0.8133403464939676,0.005254435956509438,23.569782951376258,2026-06,Friday,13,6,0.043138400536624176,0.8133403464939676,0.005254435956509438
2026-06-24 12:34:48.016,Статья,Три новых трансфера Локомотива - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a3b9649484b34015085079d,39466,845113,49730,23614,53,85,128,0,1153.74,1142.99,0.0,0.05884420189962762,0.7936054695354916,0.004586226118684437,29.23377084072366,2026-06,Wednesday,12,6,0.05884420189962762,0.7936054695354916,0.004586226118684437
2026-06-22 15:08:17.290,Статья,Баринов интересен АЕКу / Угальде может уехать в Испанию / Спартаку интересен Даку - ТРАНСФЕРЫ РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a391f0e960b431dedf86ebe,14880,323095,19660,10051,20,42,70,0,491.08000000000004,489.79,0.0,0.06084897630727804,0.7568667344862665,0.006048387096774193,33.002688172043015,2026-06,Monday,15,6,0.06084897630727804,0.7568667344862665,0.006048387096774193
2026-06-19 13:55:16.842,Статья,Уткин может уехать в Европу / Усиление в Крыльях - Трансферы и новости РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a3515fdb20c66082526271c,13343,306693,17548,8700,15,54,75,0,425.07,422.25,0.0,0.05721682594646764,0.7603715523136539,0.006745109795398337,31.85715356366634,2026-06,Friday,13,6,0.05721682594646764,0.7603715523136539,0.006745109795398337
